epoch,acc,loss,lr,val_acc,val_loss
0,0.657573782746,0.711721608131,0.001,0.655972696368,0.6166148202
1,0.759612699026,0.506858741573,0.001,0.681911262636,0.596483224407
2,0.796853179423,0.450855507286,0.001,0.70170648456,0.557186666324
3,0.813145889599,0.420525856596,0.001,0.7037542667,0.559668215753
4,0.824224932529,0.395869554216,0.001,0.698293515196,0.546188156353
5,0.83036961179,0.383497048915,0.001,0.722184300179,0.549057612647
6,0.838003910273,0.37196094521,0.001,0.708532423412,0.539603196598
7,0.844614095544,0.360172965359,0.001,0.709215016821,0.540648200203
8,0.849269155594,0.350047364621,0.001,0.72218430083,0.542970071697
9,0.859882692492,0.338095496677,0.0001,0.728327645539,0.539506325665
10,0.855413834855,0.339319419396,1e-05,0.727645051683,0.538299494229
11,0.85494832885,0.338092433281,1e-05,0.726279863969,0.537478150585
12,0.850851876017,0.342843615879,1e-05,0.726962457826,0.537025027613
13,0.855786239648,0.33932364374,1e-05,0.724232082399,0.536695634159
14,0.85392421565,0.339678700926,1e-05,0.724914676256,0.536539966804
15,0.854110418035,0.341684421054,1e-05,0.725597270113,0.536374100341
16,0.857462061272,0.336666279194,1e-05,0.726279863969,0.536534644719
17,0.856717251664,0.343221849914,1e-05,0.724914676256,0.536010846384
18,0.85541383485,0.340356550175,1e-05,0.724914676256,0.535809173641
19,0.855972442061,0.33960344297,1e-05,0.724914676256,0.535916721333
20,0.852807001221,0.340034183843,1e-05,0.726279863969,0.535481283689
21,0.851969090407,0.343142741957,1e-05,0.724914676256,0.536023561804
22,0.856531049267,0.339949198153,1e-05,0.725597270113,0.536241950517
23,0.854482822856,0.341006593066,1e-06,0.725597270113,0.536262096846
24,0.857368960082,0.338606820117,1e-07,0.725597270113,0.53626146821
