epoch,acc,loss,lr,val_acc,val_loss
0,0.715563225589,0.58465136312,0.001,0.824896456429,0.416247364567
1,0.813774709732,0.413537970672,0.001,0.835020708615,0.379399762058
2,0.833919046132,0.37180866897,0.001,0.837551771826,0.359274376497
3,0.846093504871,0.346462027262,0.001,0.839622641619,0.346876011842
4,0.850862880459,0.331267610981,0.001,0.844454671044,0.337634226966
5,0.859240665176,0.320172662914,0.001,0.851357570097,0.334654541222
6,0.864229683095,0.309719117497,0.001,0.849746893586,0.326446596195
7,0.866677125805,0.299860707682,0.001,0.852047860184,0.320853533336
8,0.869846250374,0.293257187037,0.001,0.852968246746,0.31951776284
9,0.874929400664,0.286253995141,0.001,0.852277956824,0.316374568198
10,0.877314088466,0.279678514359,0.001,0.856419696355,0.311476273124
11,0.881016630037,0.271647037032,0.001,0.856879889444,0.311188646069
12,0.882742390978,0.269512562047,0.001,0.858950759401,0.30932465939
13,0.887762786301,0.260183880624,0.001,0.858030372839,0.308868404555
14,0.886507687484,0.258627369772,0.001,0.858720662596,0.306296084452
15,0.890963288366,0.253588891935,0.001,0.858490565955,0.304403081735
16,0.890869155954,0.250354972892,0.001,0.858950759209,0.304223407017
17,0.894477565116,0.244410784294,0.001,0.857340082917,0.305182298962
18,0.899184185728,0.23840622531,0.001,0.861481822283,0.300477401691
19,0.899497960468,0.236154795276,0.001,0.857570179393,0.302313392167
20,0.899780357677,0.232542539986,0.001,0.858950759237,0.301310257735
21,0.903200502043,0.228060243817,0.0001,0.858720662596,0.299045864786
22,0.903577031673,0.226016409978,0.0001,0.858490565955,0.299277121056
23,0.907122685923,0.225971646235,0.0001,0.859410952518,0.300102877812
24,0.904800753037,0.224903905507,1e-05,0.859180855877,0.300099970981
25,0.903733919024,0.226540839981,1e-06,0.859180855877,0.300104316826
